year,month,rain_mm
2000,1,8.234370798275696
2000,2,11.361947254400844
2000,3,23.425131816521645
2000,4,114.04135635368037
2000,5,129.8103017757388
2000,6,212.27911853294094
2000,7,260.9631924266994
2000,8,290.0809477727694
2000,9,246.04473529224217
2000,10,176.61520554843233
2000,11,66.56953828714393
2000,12,7.992007161774571
2001,1,3.715990380088447
2001,2,7.874496145613887
2001,3,31.892071292998267
2001,4,62.51980887516232
2001,5,93.20372928615416
2001,6,195.73836636022276
2001,7,312.8865290908734
2001,8,296.1147593916021
2001,9,254.60998710608507
2001,10,217.3954693479667
2001,11,110.07610995960533
2001,12,13.125724152149196
2002,1,6.092621189048834
2002,2,8.390383391603285
2002,3,23.476304273947715
2002,4,35.76575294865778
2002,5,89.18710447226057
2002,6,165.45547620314838
2002,7,350.21807321475023
2002,8,402.90159441008154
2002,9,214.51473196388903
2002,10,150.11035203487145
2002,11,84.64281640663107
2002,12,10.960656577044794
2003,1,3.718924075892267
2003,2,6.572765935495356
2003,3,13.245151878519684
2003,4,52.45748247998562
2003,5,120.56121967486362
2003,6,181.97587796627047
2003,7,307.71773981179706
2003,8,274.9138606862397
2003,9,261.0062154597224
2003,10,137.2548354999332
2003,11,92.04570324587152
2003,12,10.152973933100824
2004,1,3.0199095822180717
2004,2,9.958446774011502
2004,3,23.99051969077411
2004,4,58.216757319844355
2004,5,64.49465721479687
2004,6,168.05921346960156
2004,7,288.10246609500246
2004,8,331.98884140713284
2004,9,260.42083578675397
2004,10,146.068697702128
2004,11,85.79370767789874
2004,12,15.276101462178623
2005,1,3.600603866868659
2005,2,13.544649551642921
2005,3,45.05159636379901
2005,4,79.87910580907975
2005,5,106.05158945573852
2005,6,130.23813571592524
2005,7,246.37755417997457
2005,8,279.00777262629134
2005,9,231.92599113773977
2005,10,264.60004918458685
2005,11,56.59846551063529
2005,12,18.621012628016437
2006,1,3.6938650289726804
2006,2,9.668227873192121
2006,3,17.277471365343146
2006,4,50.042178196167725
2006,5,105.45567502191486
2006,6,205.53657293964747
2006,7,303.36029775581795
2006,8,459.07233580590287
2006,9,217.38573661828016
2006,10,225.26665758813706
2006,11,50.33856314302855
2006,12,5.372679640859769
2007,1,3.13160773046493
2007,2,11.05856235134614
2007,3,31.93194568647182
2007,4,60.853488693376235
2007,5,80.89004051573691
2007,6,185.61206053496647
2007,7,268.86481085230486
2007,8,404.98014382988555
2007,9,272.3841020661512
2007,10,190.42048670027432
2007,11,93.7203041537123
2007,12,18.77839937083555
2008,1,3.6775561317910017
2008,2,14.585348681065096
2008,3,32.37919417405104
2008,4,50.50814776217156
2008,5,142.64156191108378
2008,6,201.35406563210066
2008,7,392.3393442866457
2008,8,356.89562900952075
2008,9,271.15667950871335
2008,10,170.0882712809774
2008,11,47.2319785102225
2008,12,11.393711507320404
2009,1,5.656521379513498
2009,2,7.373770911851268
2009,3,17.34200713550139
2009,4,26.410509740772902
2009,5,64.1132221167343
2009,6,258.4550784346216
2009,7,218.6265796458932
2009,8,311.0181035529066
2009,9,253.1774382179411
2009,10,199.09370069474014
2009,11,84.10678489300017
2009,12,7.783883696354143
2010,1,3.8031373197807854
2010,2,12.01076683225682
2010,3,35.07004097845254
2010,4,76.2737759521675
2010,5,140.66936128916032
2010,6,225.07201184243988
2010,7,338.9694454220902
2010,8,356.4720269003718
2010,9,235.76935952511093
2010,10,175.69555356822573
2010,11,75.89633082946555
2010,12,10.306147263834058
2011,1,3.9261603711888147
2011,2,7.08217526509443
2011,3,47.537519254433874
2011,4,55.477404825149044
2011,5,114.50970805919381
2011,6,248.37998526947308
2011,7,288.57144303177944
2011,8,346.5786922665218
2011,9,281.95796360805804
2011,10,208.14698450920113
2011,11,90.69136620262535
2011,12,8.80310643578295
2012,1,3.6727096615019996
2012,2,10.551234729626797
2012,3,12.10745580002867
2012,4,59.35338725656674
2012,5,103.04840779180458
2012,6,198.71788942255662
2012,7,281.4132172527968
2012,8,251.43952560424805
2012,9,236.73791890139387
2012,10,247.45102247859387
2012,11,117.35213058721759
2012,12,14.983540901284313
2013,1,3.7104847864107335
2013,2,5.517479580961765
2013,3,20.992482339802443
2013,4,25.44570067162072
2013,5,138.17410263037706
2013,6,231.89288395178056
2013,7,267.97322625151287
2013,8,387.79424509768927
2013,9,270.0912456770469
2013,10,190.0361177720339
2013,11,54.11370607072431
2013,12,13.564327050322177
2014,1,3.8002173740273335
2014,2,5.664282752245541
2014,3,10.329628120475952
2014,4,33.36818958345983
2014,5,149.93250716861402
2014,6,187.57717675597064
2014,7,380.55841294287643
2014,8,359.2771518679489
2014,9,236.747836618096
2014,10,185.38040171453534
2014,11,96.84319039165167
2014,12,9.893519357885705
2015,1,3.8372100122451287
2015,2,8.345649124757928
2015,3,12.097640386233097
2015,4,35.53742489296241
2015,5,117.08222770293968
2015,6,167.73738799556608
2015,7,308.7932257200751
2015,8,304.32906135138313
2015,9,280.8624421356868
2015,10,171.7907134739839
2015,11,60.553323730345696
2015,12,9.507559656290557
2016,1,5.072183224803823
2016,2,6.884466728643281
2016,3,14.135962093037696
2016,4,36.62175510180232
2016,5,87.7851768100671
2016,6,225.90199914509498
2016,7,367.5476587952486
2016,8,305.8950844644632
2016,9,355.17604613527425
2016,10,191.66340959134138
2016,11,90.22417050519421
2016,12,10.014563347745016
2017,1,3.4751159478672835
2017,2,10.209577107621778
2017,3,33.63991991935238
2017,4,44.82780478474501
2017,5,128.33172127508348
2017,6,238.8982046010219
2017,7,297.902056373493
2017,8,396.37888450503476
2017,9,269.68410598326176
2017,10,168.19823932945417
2017,11,84.41013303234723
2017,12,8.08522095088532
2018,1,3.577601351456389
2018,2,7.570461138532449
2018,3,29.9418888481549
2018,4,29.974156737327576
2018,5,56.34955812865068
2018,6,195.21934329458628
2018,7,277.0638804123131
2018,8,316.6173244480288
2018,9,273.0755091179918
2018,10,183.24522409429164
2018,11,115.72291487833712
2018,12,7.143753482356404
2019,1,3.874486334862248
2019,2,5.473010561557857
2019,3,17.570511127547842
2019,4,31.615486173302276
2019,5,91.1981768275647
2019,6,190.9296797356422
2019,7,377.97876012685026
2019,8,336.5659487046511
2019,9,293.0194800115897
2019,10,185.63076135593695
2019,11,93.32129935146494
2019,12,5.4524814047997
2020,1,4.380121401457831
2020,2,6.063263212035058
2020,3,32.3462390475417
2020,4,127.08374358067032
2020,5,141.8768002513048
2020,6,186.1433183509279
2020,7,307.9412005739083
2020,8,253.87833852698478
2020,9,255.30961308394956
2020,10,146.19193018140209
2020,11,39.13034578515885
2020,12,12.523377199822981
2021,1,4.14712592925291
2021,2,13.196422297178025
2021,3,23.82229916052069
2021,4,43.440695229727815
2021,5,140.40892001617465
2021,6,201.73544196804653
2021,7,229.5297369485591
2021,8,310.53749140045767
2021,9,237.80934863135172
2021,10,208.79607015445006
2021,11,76.55670912779333
2021,12,9.224859096505268
2022,1,3.3930087416402754
2022,2,6.9828481913489
2022,3,19.832557141966923
2022,4,47.49784274602408
2022,5,118.90870325721637
2022,6,236.5938861263406
2022,7,193.01981739000524
2022,8,324.25799566898087
2022,9,230.9750578142974
2022,10,147.34637652425934
2022,11,48.90594665416197
2022,12,11.378878962609075
2023,1,3.7698946767772523
2023,2,5.407025003916236
2023,3,19.33752042842829
2023,4,42.72356996476712
2023,5,156.3846464087638
2023,6,263.45140612758036
2023,7,388.5838089624379
2023,8,345.4515577350025
2023,9,209.42206695350225
2023,10,218.50599242100233
2023,11,91.29388015203247
2023,12,15.497176187715718
2024,1,3.5181086931404786
2024,2,6.719438911383656
2024,3,12.942185096698546
2024,4,30.00193222126033
2024,5,106.7024775910948
2024,6,179.41047233001996
2024,7,299.1100533333579
2024,8,356.6618505670426
2024,9,248.41536718203795
2024,10,177.31082885694553
2024,11,34.194250546186446
2024,12,6.612179564449715
