year,month,T2M,PRECTOTCORR
2000,1,24.896,2.5759999999999996
2000,2,25.076,0.052000000000000005
2000,3,27.052,1.814
2000,4,26.413999999999998,5.008
2000,5,26.326,6.536
2000,6,25.218,7.554
2000,7,24.012,9.08
2000,8,23.598,14.297999999999998
2000,9,24.101999999999997,5.304
2000,10,24.646,6.266
2000,11,24.734,1.448
2000,12,24.198,0.062
2001,1,24.794,0.022
2001,2,26.104000000000003,0.012
2001,3,27.977999999999998,0.21400000000000002
2001,4,27.977999999999998,1.064
2001,5,27.682,1.004
2001,6,25.796,6.006
2001,7,24.504,5.044
2001,8,24.088,7.162000000000001
2001,9,24.44,6.078
2001,10,25.848000000000003,1.85
2001,11,26.194,0.708
2001,12,26.504,0.08600000000000001
2002,1,26.6,0.32999999999999996
2002,2,28.644,0.044
2002,3,29.28,0.318
2002,4,29.292,0.924
2002,5,29.387999999999998,0.6980000000000001
2002,6,26.832,3.28
2002,7,25.622000000000003,4.122
2002,8,24.812,6.82
2002,9,25.683999999999997,2.4799999999999995
2002,10,26.256,1.314
2002,11,27.836000000000002,0.33
2002,12,27.74,0.068
2003,1,28.122000000000003,0.08
2003,2,29.601999999999997,0.06200000000000001
2003,3,29.994,0.046
2003,4,29.913999999999998,0.378
2003,5,29.236,1.1380000000000001
2003,6,26.742,2.976
2003,7,25.326,4.382
2003,8,24.538,7.095999999999999
2003,9,25.244,2.664
2003,10,26.619999999999997,1.454
2003,11,26.82,1.548
2003,12,27.410000000000004,0.158
2004,1,28.432,0.034
2004,2,28.766,0.174
2004,3,29.794,0.11000000000000001
2004,4,28.727999999999998,1.7719999999999998
2004,5,27.968,2.192
2004,6,27.195999999999998,2.448
2004,7,24.753999999999998,6.523999999999999
2004,8,24.512,12.819999999999999
2004,9,24.926,3.728
2004,10,25.828000000000003,2.1
2004,11,25.734,3.368
2004,12,26.644,0.162
2005,1,26.15,0.05
2005,2,29.02,1.02
2005,3,29.080000000000002,0.8720000000000001
2005,4,29.110000000000003,0.6
2005,5,27.595999999999997,2.182
2005,6,25.798000000000002,5.892
2005,7,25.018,5.33
2005,8,24.532,7.874
2005,9,25.169999999999998,5.018
2005,10,26.206,3.064
2005,11,26.726,0.606
2005,12,26.848000000000003,0.744
2006,1,27.782,0.118
2006,2,28.536,0.22399999999999998
2006,3,28.865999999999996,0.388
2006,4,28.862000000000002,1.172
2006,5,28.008,1.876
2006,6,26.433999999999997,3.872
2006,7,25.484,4.596
2006,8,24.57,6.593999999999999
2006,9,24.9,6.890000000000001
2006,10,25.768,3.368
2006,11,26.944,0.322
2006,12,26.55,0.042
2007,1,26.984,0.016
2007,2,28.451999999999998,0.692
2007,3,29.064,1.016
2007,4,29.101999999999997,0.49799999999999994
2007,5,28.233999999999998,2.3120000000000003
2007,6,26.502,3.3280000000000003
2007,7,24.913999999999998,6.544
2007,8,24.254,9.044
2007,9,24.978,2.96
2007,10,26.194,1.23
2007,11,26.704,0.7340000000000001
2007,12,27.004,0.5740000000000001
2008,1,26.945999999999998,0.268
2008,2,28.927999999999997,0.11000000000000001
2008,3,28.314,2.192
2008,4,28.977999999999998,0.748
2008,5,26.948,4.486
2008,6,25.742,10.588
2008,7,24.408,12.166
2008,8,24.074,17.32
2008,9,24.746000000000002,15.456
2008,10,25.14,8.928
2008,11,25.28,0.134
2008,12,25.1,0.386
2009,1,24.778,0.11800000000000002
2009,2,27.048000000000002,0.266
2009,3,28.330000000000002,0.49800000000000005
2009,4,28.589999999999996,0.9559999999999998
2009,5,27.886000000000003,4.2299999999999995
2009,6,25.398000000000003,15.812000000000001
2009,7,24.556,10.675999999999998
2009,8,23.991999999999997,39.128
2009,9,24.740000000000002,25.706
2009,10,25.162,4.774
2009,11,24.740000000000002,1.7739999999999998
2009,12,24.292,0.492
2010,1,25.387999999999998,0.138
2010,2,27.246,0.596
2010,3,28.224,0.724
2010,4,28.344,4.726
2010,5,27.236,2.392
2010,6,26.35,3.7600000000000002
2010,7,24.586000000000002,24.458
2010,8,24.136000000000003,18.714
2010,9,24.432,12.7
2010,10,25.157999999999998,5.694
2010,11,25.186,0.708
2010,12,24.894,1.24
2011,1,24.845999999999997,0.072
2011,2,26.886000000000003,0.66
2011,3,28.012,0.8539999999999999
2011,4,28.22,0.9179999999999999
2011,5,27.246,3.4259999999999997
2011,6,26.438,3.8900000000000006
2011,7,24.668,4.69
2011,8,24.548000000000002,8.315999999999999
2011,9,24.836000000000002,6.76
2011,10,25.416,2.902
2011,11,25.926,0.8219999999999998
2011,12,25.4,0.288
2012,1,26.360000000000003,0.02
2012,2,27.131999999999998,0.31999999999999995
2012,3,29.242,0.28600000000000003
2012,4,28.65,1.7119999999999997
2012,5,26.476,3.9880000000000004
2012,6,25.096,12.158
2012,7,23.928,24.84
2012,8,23.924,24.19
2012,9,24.3,15.008
2012,10,24.904,8.212
2012,11,25.434,4.294
2012,12,23.586,0.51
2013,1,24.03,0.128
2013,2,26.594,0.20800000000000002
2013,3,27.756,0.718
2013,4,28.380000000000003,1.484
2013,5,26.798000000000002,9.074
2013,6,25.330000000000002,11.052
2013,7,24.242,18.93
2013,8,23.774,25.654000000000003
2013,9,24.604,12.88
2013,10,25.04,6.172
2013,11,24.992,3.2060000000000004
2013,12,23.588,0.732
2014,1,25.57,0.266
2014,2,26.598000000000003,0.5660000000000001
2014,3,26.887999999999998,0.7940000000000002
2014,4,27.663999999999998,3.8980000000000006
2014,5,26.342000000000002,5.843999999999999
2014,6,25.6,16.218
2014,7,24.618000000000002,13.276
2014,8,23.992,17.896
2014,9,24.394,15.61
2014,10,25.236,8.146
2014,11,25.316,3.474
2014,12,23.724,0.45
2015,1,24.032,0.05
2015,2,26.534000000000002,0.722
2015,3,27.662,0.322
2015,4,28.308,0.8160000000000001
2015,5,26.965999999999998,7.142
2015,6,25.384,17.168
2015,7,24.451999999999998,21.44
2015,8,24.416,19.607999999999997
2015,9,24.644,16.576
2015,10,25.408,15.456
2015,11,25.006,0.9120000000000001
2015,12,22.464000000000002,0.048
2016,1,24.172,0.502
2016,2,26.094,0.024
2016,3,28.78,0.316
2016,4,29.05,1.5899999999999999
2016,5,27.222,4.714
2016,6,25.419999999999998,34.182
2016,7,24.396,31.732
2016,8,24.43,10.331999999999999
2016,9,24.726,14.502
2016,10,25.612000000000002,3.9799999999999995
2016,11,25.413999999999998,1.076
2016,12,24.564,0.03
2017,1,25.869999999999997,0.05
2017,2,26.994,0.07200000000000001
2017,3,28.139999999999997,0.184
2017,4,28.718,1.6760000000000002
2017,5,27.242,4.936
2017,6,25.630000000000003,11.687999999999999
2017,7,24.412,21.828
2017,8,24.47,20.282
2017,9,25.076,11.09
2017,10,25.572,5.811999999999999
2017,11,25.198,3.594
2017,12,24.564,0.018
2018,1,24.288,0.032
2018,2,26.666000000000004,0.352
2018,3,27.704,0.548
2018,4,28.312,1.3199999999999998
2018,5,28.066000000000003,2.668
2018,6,25.412,8.792
2018,7,24.462,15.745999999999999
2018,8,23.89,43.754
2018,9,24.488,31.214
2018,10,25.356,9.36
2018,11,25.192,2.566
2018,12,24.247999999999998,0.5700000000000001
2019,1,24.786,0.032
2019,2,26.718,0.08399999999999999
2019,3,27.776,0.13999999999999999
2019,4,28.848000000000003,0.71
2019,5,28.496000000000002,0.764
2019,6,26.676,10.92
2019,7,24.642,21.714
2019,8,24.184,29.639999999999997
2019,9,24.901999999999997,14.196000000000002
2019,10,25.240000000000002,16.872
2019,11,25.407999999999998,5.71
2019,12,24.892,0.086
2020,1,24.694,0.022
2020,2,26.604000000000003,0.454
2020,3,28.242,1.066
2020,4,28.142000000000003,1.684
2020,5,26.932,9.128
2020,6,25.630000000000003,7.322
2020,7,24.288,23.089999999999996
2020,8,24.041999999999998,10.856
2020,9,24.7,7.792
2020,10,25.444,4.965999999999999
2020,11,25.438,0.194
2020,12,26.07,0.46799999999999997
2021,1,26.332,0.16999999999999998
2021,2,27.665999999999997,0.8619999999999999
2021,3,28.342000000000002,0.608
2021,4,28.492,2.584
2021,5,26.966,7.909999999999999
2021,6,25.764,13.904
2021,7,24.576,38.102000000000004
2021,8,24.448,35.696
2021,9,24.976,23.828
2021,10,25.706,10.053999999999998
2021,11,25.566,1.3900000000000001
2021,12,25.244,0.20400000000000001
2022,1,24.796,0.096
2022,2,26.612000000000002,0.686
2022,3,28.003999999999998,0.938
2022,4,28.054000000000002,2.008
2022,5,27.156,4.762
2022,6,25.894,5.061999999999999
2022,7,24.5,10.24
2022,8,24.101999999999997,21.384
2022,9,24.518,16.316
2022,10,25.28,8.224
2022,11,24.964,1.966
2022,12,24.7,0.43200000000000005
2023,1,24.872,0.164
2023,2,27.016,0.44800000000000006
2023,3,27.842000000000002,1.248
2023,4,27.97,2.38
2023,5,26.665999999999997,13.508
2023,6,25.568,9.366
2023,7,25.282,10.734
2023,8,25.136000000000003,11.278
2023,9,25.596,14.681999999999999
2023,10,25.857999999999997,14.384
2023,11,26.082,4.756
2023,12,24.302,0.774
2024,1,25.576,0.044000000000000004
2024,2,26.972,0.012
2024,3,28.644,0.742
2024,4,28.726,4.279999999999999
2024,5,27.686,6.1739999999999995
2024,6,26.176,14.857999999999999
2024,7,24.742,17.534
2024,8,24.786,16.878
2024,9,24.972,16.184
2024,10,25.47,8.352
2024,11,25.35,0.278
2024,12,24.188,0.02
